subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
0,62.500,66.667,100.000,0,0,0.4948794444444444
1,46.875,66.667,100.000,0,0,0.65645
2,59.375,66.667,0.000,1,0,0.4933266666666667
3,53.125,66.667,100.000,0,0,0.41458708333333333
4,46.875,66.667,100.000,0,0,0.5415863888888889
5,62.500,66.667,100.000,0,0,0.61355
6,43.750,55.556,100.000,0,0,0.3799836111111111
7,56.250,66.667,100.000,0,0,0.6179833333333333
8,56.250,66.667,100.000,0,0,0.6018841666666667
9,43.750,66.667,100.000,0,0,0.4830070833333333
10,59.375,66.667,100.000,0,0,0.5468447222222222
11,65.625,33.333,0.000,1,0,0.4634334722222222
12,53.125,66.667,100.000,0,0,0.6130333333333333
13,40.625,66.667,100.000,0,0,0.43514027777777775
14,53.125,66.667,100.000,0,0,0.47400555555555557
15,40.625,66.667,100.000,0,0,0.5526730555555556
16,34.375,66.667,100.000,0,0,0.6250438888888888
17,46.875,66.667,100.000,0,0,0.5743833333333334
18,56.250,44.444,0.000,0,1,0.31321166666666667
19,56.250,66.667,0.000,0,1,0.6264
20,59.375,66.667,100.000,0,0,0.5497666666666666
21,37.500,66.667,100.000,0,0,0.4632763888888889
22,56.250,66.667,100.000,0,0,0.57075
23,43.750,66.667,0.000,0,1,0.6161948611111111
24,53.125,55.556,0.000,1,0,0.6187
25,53.125,66.667,0.000,0,1,0.5131066666666667
26,62.500,66.667,0.000,0,1,0.6372
27,59.375,77.778,0.000,1,0,0.57745
28,40.625,55.556,100.000,0,0,0.25779708333333334
29,68.750,33.333,100.000,0,0,0.3560479166666667
30,71.875,55.556,100.000,1,1,0.35868875
31,46.875,55.556,0.000,0,1,0.5943666666666667
32,53.125,55.556,100.000,0,0,0.6122666666666666
33,50.000,55.556,100.000,0,0,0.5143377777777778
34,37.500,55.556,100.000,0,0,0.5060433333333333
35,50.000,55.556,0.000,0,1,0.6367316666666667
36,59.375,55.556,0.000,0,1,0.6194
37,62.500,55.556,100.000,0,0,0.6024669444444445
38,37.500,55.556,100.000,0,0,0.28045
39,43.750,55.556,0.000,0,1,0.2731027777777778
40,46.875,44.444,100.000,0,0,0.5609333333333333
41,59.375,44.444,100.000,0,0,0.5939591666666667
42,50.000,55.556,0.000,0,1,0.56995
43,59.375,55.556,100.000,0,0,0.5964452777777778
44,65.625,55.556,100.000,0,0,0.5878988888888889
45,50.000,55.556,100.000,1,1,0.4833322222222222
