subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
0,62.500,66.667,100.000,0,0,0.13951125
1,75.000,66.667,100.000,0,0,0.13637472222222222
2,56.250,66.667,100.000,0,0,0.1322061111111111
3,62.500,66.667,100.000,0,0,0.10107305555555555
4,50.000,66.667,100.000,0,0,0.12072305555555556
5,75.000,66.667,100.000,0,0,0.13528722222222223
6,56.250,66.667,100.000,0,0,0.12839055555555556
7,75.000,55.556,100.000,0,0,0.12114097222222223
8,50.000,66.667,100.000,0,0,0.1679334722222222
9,56.250,66.667,100.000,0,0,0.12169680555555555
10,75.000,66.667,100.000,0,0,0.14306125
11,50.000,44.444,100.000,0,0,0.11879902777777777
12,50.000,66.667,100.000,0,0,0.10334319444444444
13,43.750,33.333,0.000,1,0,0.12325319444444445
14,50.000,66.667,100.000,0,0,0.09721027777777778
15,62.500,66.667,100.000,0,0,0.13039819444444445
16,50.000,33.333,100.000,0,0,0.1550826388888889
17,62.500,77.778,100.000,0,0,0.08642041666666667
18,75.000,33.333,100.000,1,1,0.09988166666666666
19,62.500,66.667,0.000,0,1,0.15110777777777779
20,37.500,66.667,100.000,0,0,0.14134208333333334
21,31.250,66.667,100.000,0,0,0.0992548611111111
22,50.000,66.667,100.000,0,0,0.16344833333333333
23,62.500,66.667,0.000,0,1,0.04337166666666667
24,56.250,77.778,100.000,0,0,0.0915925
25,43.750,66.667,0.000,0,1,0.10110166666666667
26,62.500,66.667,0.000,0,1,0.12435416666666667
27,68.750,77.778,100.000,0,0,0.14669625
28,43.750,55.556,100.000,0,0,0.07947097222222223
29,62.500,66.667,100.000,0,0,0.09571
30,62.500,55.556,0.000,0,1,0.09726972222222222
31,50.000,55.556,0.000,0,1,0.1562815277777778
32,56.250,55.556,100.000,0,0,0.10695875
33,50.000,55.556,100.000,0,0,0.13512680555555556
34,37.500,55.556,100.000,0,0,0.11021666666666667
35,56.250,55.556,0.000,0,1,0.1436998611111111
36,43.750,55.556,0.000,0,1,0.09355208333333333
37,62.500,55.556,100.000,0,0,0.11626625
38,56.250,55.556,100.000,0,0,0.07528319444444445
39,56.250,55.556,0.000,0,1,0.08819472222222222
40,43.750,44.444,100.000,0,0,0.11947944444444444
41,50.000,44.444,100.000,0,0,0.15398319444444444
42,56.250,66.667,100.000,1,1,0.2847616666666667
43,56.250,55.556,100.000,0,0,0.14740833333333334
44,68.750,55.556,100.000,0,0,0.12844902777777778
45,68.750,55.556,0.000,0,1,0.10837555555555556
