subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
0,65.625,55.556,0.000,1,0,0.19532833333333333
1,43.750,66.667,100.000,0,0,0.2490625
2,45.312,66.667,100.000,0,0,0.20549583333333332
3,53.125,66.667,100.000,0,0,0.17466291666666667
4,42.188,66.667,100.000,0,0,0.2188975
5,65.625,66.667,0.000,1,0,0.2668425
6,51.562,66.667,100.000,0,0,0.19488375
7,60.938,66.667,100.000,0,0,0.25691833333333336
8,48.438,66.667,100.000,0,0,0.21744875
9,62.500,66.667,100.000,0,0,0.21411208333333334
10,56.250,66.667,100.000,0,0,0.22830583333333335
11,54.688,22.222,100.000,0,0,0.20958166666666667
12,43.750,66.667,0.000,1,0,0.24079333333333333
13,50.000,66.667,100.000,0,0,0.17018458333333333
14,51.562,77.778,0.000,1,0,0.20712208333333335
15,39.062,66.667,100.000,0,0,0.2206925
16,51.562,66.667,100.000,0,0,0.24204541666666668
17,56.250,77.778,100.000,0,0,0.22795
18,60.938,88.889,100.000,1,1,0.14596083333333335
19,60.938,66.667,0.000,0,1,0.25478208333333335
20,65.625,66.667,0.000,1,0,0.2379
21,35.938,66.667,100.000,0,0,0.188535
22,60.938,88.889,0.000,1,0,0.22892625
23,42.188,66.667,0.000,0,1,0.24520833333333333
24,50.000,66.667,0.000,1,0,0.25460333333333335
25,75.000,66.667,100.000,1,1,0.21482
26,59.375,66.667,0.000,0,1,0.231345
27,54.688,33.333,100.000,0,0,0.23025916666666665
28,46.875,33.333,0.000,1,0,0.13987291666666668
29,54.688,55.556,0.000,1,0,0.12814916666666668
30,68.750,77.778,100.000,1,1,0.16898416666666666
31,46.875,55.556,100.000,1,1,0.22839541666666666
32,51.562,55.556,0.000,1,0,0.25328625
33,82.812,66.667,0.000,1,0,0.22379375
34,51.562,55.556,0.000,1,0,0.19135166666666667
35,46.875,55.556,0.000,0,1,0.25226625
36,37.500,44.444,0.000,0,1,0.2720825
37,59.375,55.556,0.000,1,0,0.22209083333333332
38,64.062,55.556,100.000,0,0,0.1305875
39,56.250,66.667,100.000,1,1,0.15334541666666668
40,57.812,55.556,0.000,1,0,0.26265875
41,34.375,44.444,100.000,0,0,0.25141875
42,57.812,55.556,100.000,1,1,0.2717875
43,53.125,66.667,100.000,0,0,0.2435375
44,62.500,66.667,0.000,1,0,0.2510983333333333
45,51.562,55.556,100.000,1,1,0.22615458333333333
