subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
0,68.750,66.667,100.000,0,0,0.010336666666666666
1,81.250,66.667,100.000,0,0,0.018359583333333332
2,62.500,66.667,100.000,0,0,0.01350625
3,75.000,88.889,100.000,0,0,0.010063333333333334
4,75.000,66.667,100.000,0,0,0.011330416666666667
5,43.750,77.778,100.000,0,0,0.0148825
6,93.750,22.222,0.000,1,0,0.006441666666666667
7,68.750,22.222,100.000,0,0,0.015137083333333334
8,75.000,66.667,100.000,0,0,0.0097725
9,75.000,66.667,100.000,0,0,0.024014583333333332
10,75.000,66.667,100.000,0,0,0.015606666666666666
11,56.250,66.667,100.000,0,0,0.008111666666666666
12,81.250,66.667,100.000,0,0,0.020194583333333332
13,75.000,66.667,100.000,0,0,0.0073995833333333335
14,93.750,66.667,100.000,0,0,0.01343875
15,68.750,66.667,100.000,0,0,0.015497916666666667
16,62.500,66.667,100.000,0,0,0.029482083333333332
17,62.500,55.556,100.000,0,0,0.032342916666666666
18,81.250,77.778,0.000,0,1,0.020054583333333334
19,50.000,33.333,0.000,0,1,0.01204875
20,87.500,66.667,100.000,0,0,0.023662916666666665
21,56.250,66.667,100.000,0,0,0.0192275
22,75.000,66.667,100.000,0,0,0.01389625
23,62.500,66.667,100.000,1,1,0.00971875
24,62.500,66.667,100.000,0,0,0.013564583333333333
25,93.750,77.778,0.000,0,1,0.021065
26,68.750,44.444,0.000,0,1,0.01963
27,75.000,55.556,100.000,0,0,0.011060416666666666
28,68.750,55.556,100.000,0,0,0.005941666666666666
29,75.000,66.667,100.000,0,0,0.013380833333333333
30,62.500,55.556,0.000,0,1,0.01596375
31,62.500,55.556,0.000,0,1,0.02619875
32,68.750,77.778,100.000,0,0,0.020093333333333335
33,68.750,33.333,0.000,1,0,0.006245
34,75.000,55.556,100.000,0,0,0.0065808333333333335
35,75.000,55.556,0.000,0,1,0.020197083333333334
36,50.000,55.556,0.000,0,1,0.01872708333333333
37,81.250,55.556,100.000,0,0,0.020579166666666666
38,87.500,66.667,100.000,0,0,0.009672083333333333
39,87.500,55.556,0.000,0,1,0.010975833333333334
40,43.750,44.444,100.000,0,0,0.027780416666666665
41,81.250,44.444,100.000,0,0,0.02670375
42,75.000,55.556,0.000,0,1,0.050479583333333335
43,87.500,55.556,100.000,0,0,0.020734166666666668
44,81.250,55.556,100.000,0,0,0.013587916666666667
45,75.000,66.667,0.000,0,1,0.013910416666666666
