subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
0,62.500,66.667,100.000,0,0,0.1092723611111111
1,62.500,66.667,100.000,0,0,0.11932680555555555
2,62.500,66.667,100.000,0,0,0.11162013888888889
3,50.000,55.556,100.000,0,0,0.0839748611111111
4,62.500,66.667,100.000,0,0,0.10003708333333333
5,62.500,66.667,100.000,0,0,0.11408375
6,62.500,66.667,100.000,0,0,0.10015416666666667
7,75.000,66.667,100.000,0,0,0.10259527777777777
8,37.500,66.667,100.000,0,0,0.133645
9,87.500,66.667,100.000,0,0,0.09603041666666666
10,50.000,77.778,100.000,0,0,0.11211944444444444
11,62.500,66.667,100.000,0,0,0.10139652777777777
12,50.000,77.778,100.000,0,0,0.08513388888888888
13,50.000,66.667,100.000,0,0,0.09600833333333333
14,50.000,66.667,100.000,0,0,0.08407180555555556
15,37.500,66.667,100.000,0,0,0.09462569444444445
16,62.500,66.667,100.000,0,0,0.1343447222222222
17,25.000,66.667,100.000,0,0,0.06472388888888889
18,50.000,77.778,0.000,0,1,0.08560069444444444
19,87.500,22.222,0.000,0,1,0.1231
20,50.000,66.667,100.000,0,0,0.13258486111111112
21,62.500,66.667,100.000,0,0,0.08250555555555555
22,62.500,66.667,100.000,0,0,0.13192569444444444
23,62.500,100.000,100.000,1,1,0.03828597222222222
24,50.000,66.667,100.000,0,0,0.06841
25,62.500,66.667,0.000,0,1,0.08883152777777778
26,62.500,66.667,0.000,0,1,0.0942998611111111
27,37.500,55.556,100.000,0,0,0.12519097222222222
28,75.000,55.556,100.000,0,0,0.06448680555555555
29,62.500,55.556,100.000,0,0,0.08156958333333333
30,62.500,77.778,0.000,0,1,0.08215930555555556
31,25.000,55.556,0.000,0,1,0.13441486111111112
32,62.500,55.556,100.000,0,0,0.07950847222222222
33,12.500,33.333,0.000,1,0,0.10986777777777777
34,62.500,55.556,100.000,0,0,0.09235694444444445
35,62.500,55.556,0.000,0,1,0.11718111111111111
36,37.500,33.333,0.000,0,1,0.06651486111111111
37,50.000,55.556,100.000,0,0,0.10205527777777777
38,37.500,55.556,100.000,0,0,0.06292458333333334
39,75.000,66.667,0.000,0,1,0.07434541666666666
40,75.000,44.444,100.000,0,0,0.10121166666666667
41,37.500,66.667,0.000,1,0,0.13391055555555556
42,62.500,55.556,0.000,0,1,0.2425025
43,75.000,55.556,100.000,0,0,0.12474236111111112
44,75.000,55.556,100.000,0,0,0.09826291666666667
45,37.500,55.556,0.000,0,1,0.09099208333333333
