subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
0,59.375,55.556,0.000,1,0,0.1
1,50.000,66.667,100.000,0,0,0.1
2,53.125,66.667,100.000,0,0,0.1
3,40.625,66.667,100.000,0,0,0.1
4,56.250,33.333,0.000,1,0,0.1
5,62.500,66.667,100.000,0,0,0.1
6,43.750,66.667,100.000,0,0,0.1
7,59.375,66.667,100.000,0,0,0.1
8,56.250,66.667,100.000,0,0,0.1
9,62.500,33.333,0.000,1,0,0.1
10,71.875,66.667,100.000,0,0,0.1
11,59.375,66.667,100.000,0,0,0.1
12,40.625,66.667,100.000,0,0,0.1
13,43.750,66.667,100.000,0,0,0.1
14,59.375,66.667,100.000,0,0,0.1
15,62.500,33.333,0.000,1,0,0.1
16,43.750,66.667,100.000,0,0,0.1
17,50.000,66.667,100.000,0,0,0.1
18,65.625,100.000,0.000,0,1,0.1
19,71.875,33.333,100.000,1,1,0.1
20,43.750,11.111,100.000,0,0,0.1
21,53.125,66.667,100.000,0,0,0.1
22,34.375,66.667,100.000,0,0,0.1
23,59.375,33.333,100.000,1,1,0.1
24,65.625,66.667,100.000,0,0,0.1
25,50.000,88.889,0.000,0,1,0.1
26,56.250,66.667,0.000,0,1,0.1
27,53.125,55.556,100.000,0,0,0.1
28,40.625,55.556,100.000,0,0,0.1
29,46.875,55.556,100.000,0,0,0.1
30,46.875,55.556,0.000,0,1,0.1
31,75.000,55.556,0.000,0,1,0.1
32,59.375,33.333,0.000,1,0,0.1
33,53.125,11.111,0.000,1,0,0.1
34,37.500,55.556,100.000,0,0,0.1
35,46.875,55.556,0.000,0,1,0.1
36,56.250,44.444,100.000,1,1,0.1
37,62.500,55.556,100.000,0,0,0.1
38,46.875,55.556,100.000,0,0,0.1
39,43.750,55.556,0.000,0,1,0.1
40,59.375,44.444,100.000,0,0,0.1
41,46.875,44.444,100.000,0,0,0.1
42,50.000,55.556,0.000,0,1,0.1
43,43.750,55.556,100.000,0,0,0.1
44,46.875,55.556,100.000,0,0,0.1
45,56.250,55.556,0.000,0,1,0.1
