subj,tr_acc,val_acc,ts_acc,ts_pred,ts_label,sparsity
0,37.500,66.667,100.000,0,0,0.18627597222222222
1,81.250,66.667,100.000,0,0,0.2000772222222222
2,31.250,66.667,100.000,0,0,0.18569944444444444
3,43.750,66.667,100.000,0,0,0.13484041666666666
4,62.500,66.667,100.000,0,0,0.17673027777777778
5,62.500,66.667,100.000,0,0,0.2066397222222222
6,43.750,44.444,100.000,0,0,0.16402708333333332
7,50.000,66.667,100.000,0,0,0.20054180555555556
8,56.250,66.667,100.000,0,0,0.23063847222222222
9,75.000,66.667,100.000,0,0,0.1693976388888889
10,56.250,66.667,100.000,0,0,0.20645847222222222
11,56.250,66.667,100.000,0,0,0.1697613888888889
12,43.750,66.667,100.000,0,0,0.17675791666666665
13,43.750,77.778,100.000,0,0,0.16710430555555555
14,62.500,66.667,100.000,0,0,0.14746680555555555
15,31.250,66.667,100.000,0,0,0.17525402777777777
16,56.250,77.778,0.000,1,0,0.2201122222222222
17,37.500,66.667,100.000,0,0,0.14025805555555557
18,50.000,66.667,0.000,0,1,0.13138458333333333
19,43.750,66.667,0.000,0,1,0.21989875
20,37.500,66.667,100.000,0,0,0.23177430555555556
21,62.500,66.667,100.000,0,0,0.14747944444444444
22,87.500,66.667,0.000,1,0,0.2218738888888889
23,50.000,33.333,0.000,0,1,0.12391194444444445
24,56.250,77.778,0.000,1,0,0.1702898611111111
25,50.000,66.667,0.000,0,1,0.1627361111111111
26,50.000,66.667,0.000,0,1,0.18405041666666666
27,43.750,55.556,100.000,0,0,0.2177476388888889
28,56.250,33.333,0.000,1,0,0.09840236111111111
29,50.000,55.556,100.000,0,0,0.11147805555555555
30,50.000,55.556,0.000,0,1,0.13398722222222223
31,62.500,55.556,0.000,0,1,0.2177523611111111
32,56.250,55.556,100.000,0,0,0.16029138888888889
33,37.500,33.333,0.000,1,0,0.193875
34,25.000,55.556,100.000,0,0,0.15459027777777778
35,56.250,55.556,0.000,0,1,0.20482291666666666
36,43.750,77.778,100.000,1,1,0.15253069444444445
37,62.500,33.333,0.000,1,0,0.1843648611111111
38,43.750,55.556,100.000,0,0,0.09363402777777778
39,56.250,55.556,0.000,0,1,0.11472305555555555
40,43.750,44.444,100.000,0,0,0.1908922222222222
41,50.000,44.444,100.000,0,0,0.23227055555555556
42,50.000,55.556,0.000,0,1,0.3650748611111111
43,56.250,55.556,100.000,0,0,0.21469333333333335
44,62.500,55.556,100.000,0,0,0.20088680555555555
45,43.750,55.556,0.000,0,1,0.1631261111111111
